Station_ID,MLRA,LRU
USC00213296,93A,93A
USC00212555,93A,93A
USC00216211,93A,93A
USC00213417,93A,93A
USC00214191,93A,93A
USC00214306,93A,93A
USC00210190,91B,91B
USC00211390,91B,91B
USC00218986,91B,91B
USC00217502,91B,91B
USW00014995,91B,91B
USC00479012,91B,91B
USC00478027,91B,91B
USC00473511,91B,91B
USC00471978,91B,91B
USW00094973,91B,91B
USC00475525,91B,91B
USC00473186,91B,91B
USC00212737,91A,91A
USC00217107,91A,91A
USC00213567,91A,91A
USW00094963,91A,91A
USW00014922,91A,91A
USC00217379,91A,91A
USW00014927,91A,91A
USC00217377,91A,91A
USC00214884,91A,91A
USC00218450,91A,91A
USW00094960,91A,91A
USC00212500,91A,91A
USC00214373,91A,91A
USW00014926,91A,91A
USC00216920,91A,91A
USC00217157,91A,91A
USW00014910,91A,91A
USC00214861,91A,91A
USC00214793,91A,91A
USC00210939,91A,91A
USW00094938,91A,91A
USC00216276,91A,91A
USC00216547,91A,91A
USC00212142,91A,91A
USW00094967,91A,91A
USC00218037,90B,90B
USC00218039,90B,90B
USC00218477,90B,90B
USC00212881,90B,90B
USC00211227,90B,90B
USC00475808,90B,90B
USW00094985,90B,90B
USC00475120,90B,90B
USC00472556,90B,90B
USC00472447,90B,90B
USC00478241,90B,90B
USC00477226,90B,90B
USW00014897,90B,90B
USC00478969,90B,90B
USC00470486,90B,90B
USC00477121,90B,90B
USC00478110,90B,90B
USC00477230,90B,90B
USC00476357,90B,90B
USC00470904,90B,90B
USC00475255,90B,90B
USC00473182,90B,90B
USC00470239,90B,90B
USC00475364,90B,90B
USC00477464,90B,90B
USC00477132,90B,90B
USC00207812,90A,90A
USC00215392,90A,90A
USC00215615,90A,90A
USC00213793,90A,90A
USC00216166,90A,90A
USW00054932,90A,90A
USC00211074,90A,90A
USC00214103,90A,90A
USC00215598,90A,90A
USC00219173,90A,90A
USC00211630,90A,90A
USC00478951,90A,90A
USC00477349,90A,90A
USC00470991,90A,90A
USC00478190,90A,90A
USC00474027,90A,90A
USC00479176,90A,90A
USC00473698,90A,90A
USC00470175,90A,90A
USC00474530,90A,90A
USC00477745,90A,90A
USC00474523,90A,90A
USC00474080,90A,90A
USC00478324,90A,90A
USC00479144,90A,90A
USC00478018,90A,90A
USC00474391,90A,90A
USC00474582,90A,90A
USC00477980,90A,90A
USC00471923,90A,90A
USC00477140,90A,90A
USC00470773,90A,90A
USC00474894,90A,90A
USC00477113,90A,90A
USC00473174,90A,90A
USC00477118,90A,90A
USC00473636,90A,90A
USC00479236,90A,90A
USC00475863,90A,90A
USC00471847,90A,90A
USC00479304,90A,90A
USC00474829,90A,90A
USC00472826,90A,90A
USC00476398,90A,90A
USC00471249,90A,90A
USC00476518,90A,90A
USC00474383,90A,90A
USC00477892,90A,90A
USC00342678,87B,87B
USC00411425,87B,87B
USC00414483,87B,87B
USC00414976,87B,87B
USC00414980,87B,87B
USC00412902,87B,87B
USC00418743,87B,87B
USC00416108,87B,87B
USC00416119,87B,87B
USC00416195,87B,87B
USC00411772,87B,87B
USC00410443,87B,87B
USC00410923,87B,87B
USC00416794,87B,87B
USC00416050,87B,87B
USC00412394,87B,87B
USC00418658,87A,87A
USC00410660,87A,87A
USC00413622,87A,87A
USC00414575,87A,87A
USC00414903,87A,87A
USC00418415,87A,87A
USC00413525,87A,87A
USC00418446,87A,87A
USC00412462,87A,87A
USW00003904,87A,87A
USC00417685,87A,87A
USC00415477,87A,87A
USC00413321,87A,87A
USC00415904,87A,87A
USC00411045,87A,87A
USC00416496,87A,87A
USC00413047,87A,87A
USC00412020,87A,87A
USC00412925,87A,87A
USC00419952,86B,86B
USC00413873,86B,86B
USC00413183,86B,86B
USC00418126,86B,86B
USC00410655,86B,86B
USC00411048,86B,86B
USC00419491,86B,86B
USC00415193,86B,86B
USC00411314,86B,86B
USC00417586,86B,86B
USW00012970,86A,86A
USC00418169,86A,86A
USC00417947,86A,86A
USW00012921,86A,86A
USC00418187,86A,86A
USC00415429,86A,86A
USW00012971,86A,86A
USC00416276,86A,86A
USC00415430,86A,86A
USC00417983,86A,86A
USC00415284,86A,86A
USC00417497,86A,86A
USC00416058,86A,86A
USC00411541,86A,86A
USC00410431,86A,86A
USW00013904,86A,86A
USW00013958,86A,86A
USC00412820,86A,86A
USC00417791,86A,86A
USC00418861,86A,86A
USC00418862,86A,86A
USC00419001,86A,86A
USC00413685,86A,86A
USC00413686,86A,86A
USC00411348,86A,86A
USC00414556,86A,86A
USC00418910,86A,86A
USC00410665,86A,86A
USC00419153,86A,86A
USC00415611,86A,86A
USC00419004,86A,86A
USC00414122,86A,86A
USC00419417,86A,86A
USW00013959,86A,86A
USC00415869,86A,86A
USC00416210,86A,86A
USC00414182,86A,86A
USW00053912,86A,86A
USC00411026,86A,86A
USC00412019,86A,86A
USC00414505,86A,86A
USC00410518,86A,86A
USC00415695,86A,86A
USC00419522,86A,86A
USC00417773,86A,86A
USC00410202,86A,86A
USC00415897,86A,86A
USC00417495,86A,86A
USC00413133,86A,86A
USC00414705,86A,86A
USC00412080,86A,86A
USC00414597,86A,86A
USW00053907,86A,86A
USW00003971,86A,86A
USC00419800,86A,86A
USW00053911,86A,86A
USW00093901,86A,86A
USC00418929,86A,86A
USC00414914,86A,86A
USW00013960,86A,86A
USW00003927,86A,86A
USC00417707,86A,86A
USC00411490,86A,86A
USC00417588,86A,86A
USC00415094,86A,86A
USC00413370,86A,86A
USC00413734,86A,86A
USW00053914,86A,86A
USC00415766,86A,86A
USC00411921,86A,86A
USC00411968,86A,86A
USC00410262,86A,86A
USC00419859,86A,86A
USC00413822,86A,86A
USC00419125,86A,86A
USC00414257,86A,86A
USC00418274,86A,86A
USC00410297,84C,84C
USC00411804,84C,84C
USC00411246,84C,84C
USC00410337,84C,84C
USC00413691,84C,84C
USC00415192,84C,84C
USC00412404,84C,84C
USC00417028,84C,84C
USC00413420,84C,84C
USC00413642,84C,84C
USC00345563,84B,84B
USC00344865,84B,84B
USC00345468,84B,84B
USC00348884,84B,84B
USC00344001,84B,84B
USC00411914,84B,84B
USC00417300,84B,84B
USC00414137,84B,84B
USC00412598,84B,84B
USC00417633,84B,84B
USW00003969,84B,84B
USC00413591,84B,84B
USC00417388,84B,84B
USC00415116,84B,84B
USC00414343,84B,84B
USC00416060,84B,84B
USC00413675,84B,84B
USC00419532,84B,84B
USC00413289,84B,84B
USC00412677,84B,84B
USC00411063,84B,84B
USC00414972,84B,84B
USC00412334,84B,84B
USC00410206,84B,84B
USC00413247,84B,84B
USC00410926,84B,84B
USC00142409,84A,84A
USC00141282,84A,84A
USC00147305,84A,84A
USC00143331,84A,84A
USC00144812,84A,84A
USC00142686,84A,84A
USC00349032,84A,84A
USC00342196,84A,84A
USC00340017,84A,84A
USC00344915,84A,84A
USC00340224,84A,84A
USC00349575,84A,84A
USC00348042,84A,84A
USC00348479,84A,84A
USC00348110,84A,84A
USC00345329,84A,84A
USC00349479,84A,84A
USC00340288,84A,84A
USC00342788,84A,84A
USC00341684,84A,84A
USC00343821,84A,84A
USC00341144,84A,84A
USC00344098,84A,84A
USC00344812,84A,84A
USC00345522,84A,84A
USC00341902,84A,84A
USC00340535,84A,84A
USC00346935,84A,84A
USC00340546,84A,84A
USW00003959,84A,84A
USC00415721,83E,83E
USC00417981,83E,83E
USC00410345,83E,83E
USC00413063,83E,83E
USC00418081,83E,83E
USW00012919,83D,83D
USC00415836,83D,83D
USW00012957,83D,83D
USC00419588,83D,83D
USW00012959,83D,83D
USC00415701,83D,83D
USC00413943,83D,83D
USC00415972,83D,83D
USW00012904,83D,83D
USC00414911,83D,83D
USC00418059,83D,83D
USC00412758,83D,83D
USC00417458,83D,83D
USW00012987,83D,83D
USC00412950,83C,83C
USC00414058,83C,83C
USC00410690,83C,83C
USC00413341,83C,83C
USC00410025,83C,83C
USC00415303,83C,83C
USC00413508,83C,83C
USC00417622,83B,83B
USC00413060,83B,83B
USC00419976,83B,83B
USC00415060,83B,83B
USC00419030,83B,83B
USC00411528,83B,83B
USC00415369,83B,83B
USC00412824,83B,83B
USC00410787,83B,83B
USC00412160,83B,83B
USC00412679,83B,83B
USC00411007,83B,83B
USW00022010,83B,83B
USC00412361,83B,83B
USC00410144,83A,83A
USW00012932,83A,83A
USC00412906,83A,83A
USC00415661,83A,83A
USC00419031,83A,83A
USW00012947,83A,83A
USC00410639,83A,83A
USC00411337,83A,83A
USC00411720,83A,83A
USC00411486,83A,83A
USC00413299,83A,83A
USC00419007,83A,83A
USC00412125,83A,83A
USC00419717,83A,83A
USC00413618,83A,83A
USC00413620,83A,83A
USC00412458,83A,83A
USC00411880,83A,83A
USC00412417,83A,83A
USC00417836,83A,83A
USC00416879,83A,83A
USC00414696,83A,83A
USC00414647,83A,83A
USC00411663,83A,83A
USC00410560,83A,83A
USC00417111,83A,83A
USC00413065,83A,83A
USC00419953,83A,83A
USC00414920,83A,83A
USC00417215,83A,83A
USC00412173,83A,83A
USC00413201,83A,83A
USC00419268,83A,83A
USC00416368,83A,83A
USC00415454,83A,83A
USC00411671,83A,83A
USC00417873,83A,83A
USC00414254,83A,83A
USW00012962,83A,83A
USC00413624,83A,83A
USC00414907,83A,83A
USC00348299,82B,82B
USC00349629,82B,82B
USC00415276,82A,82A
USC00411253,82A,82A
USC00415272,82A,82A
USC00415650,82A,82A
USC00410950,81D,81D
USC00417624,81D,81D
USC00415048,81D,81D
USW00003032,81D,81D
USC00412590,81D,81D
USC00418845,81C,81C
USC00411398,81C,81C
USC00411215,81C,81C
USC00410902,81C,81C
USC00419313,81C,81C
USC00415742,81C,81C
USC00416448,81C,81C
USC00418544,81C,81C
USC00411429,81C,81C
USC00411395,81C,81C
USC00417232,81C,81C
USC00411433,81C,81C
USC00411920,81C,81C
USC00413156,81C,81C
USC00419815,81C,81C
USC00414374,81C,81C
USC00414458,81C,81C
USC00414782,81C,81C
USC00410832,81C,81C
USC00412585,81C,81C
USC00414605,81C,81C
USC00410433,81C,81C
USC00418531,81C,81C
USW00023907,81C,81C
USC00413507,81C,81C
USW00003999,81C,81C
USC00410246,81C,81C
USC00411250,81C,81C
USC00410738,81C,81C
USC00419504,81C,81C
USC00417706,81B,81B
USC00414375,81B,81B
USC00410509,81B,81B
USC00413329,81B,81B
USC00414402,81B,81B
USC00413954,81B,81B
USC00418897,81B,81B
USC00413605,81B,81B
USC00418877,81B,81B
USC00414670,81B,81B
USW00013973,81B,81B
USC00418449,81B,81B
USC00415312,81B,81B
USC00412816,81B,81B
USC00413257,81B,81B
USC00412809,81B,81B
USC00419099,81B,81B
USC00415822,81B,81B
USC00418863,81B,81B
USC00411017,81B,81B
USC00412741,81B,81B
USC00414960,81B,81B
USC00410225,81A,81A
USC00411013,81A,81A
USC00417712,81A,81A
USC00411492,81A,81A
USC00414348,81A,81A
USC00418022,81A,81A
USC00412593,81A,81A
USC00416780,81A,81A
USC00416781,81A,81A
USC00410040,81A,81A
USC00416733,81A,81A
USC00418252,81A,81A
USC00416734,81A,81A
USC00410482,81A,81A
USC00415707,81A,81A
USC00410779,81A,81A
USC00417944,81A,81A
USW00023034,81A,81A
USC00416499,81A,81A
USC00413401,81A,81A
USC00411974,81A,81A
USC00415888,81A,81A
USC00419499,81A,81A
USC00418630,81A,81A
USC00413445,81A,81A
USC00418631,81A,81A
USC00413253,81A,81A
USC00417992,80B,80B
USC00417593,80B,80B
USC00417994,80B,80B
USC00418046,80B,80B
USC00412715,80B,80B
USC00413639,80B,80B
USC00414979,80B,80B
USC00411035,80B,80B
USC00418696,80B,80B
USC00411042,80B,80B
USC00416766,80B,80B
USW00093985,80B,80B
USC00413668,80B,80B
USC00414517,80B,80B
USC00410271,80B,80B
USC00416331,80B,80B
USC00410984,80B,80B
USC00141233,80A,80A
USC00140926,80A,80A
USW00013980,80A,80A
USC00146340,80A,80A
USC00347403,80A,80A
USC00349395,80A,80A
USC00345247,80A,80A
USC00349278,80A,80A
USC00342054,80A,80A
USC00342668,80A,80A
USC00342660,80A,80A
USW00003950,80A,80A
USC00344052,80A,80A
USC00345063,80A,80A
USC00342872,80A,80A
USC00345581,80A,80A
USC00346926,80A,80A
USC00340010,80A,80A
USC00345216,80A,80A
USC00347327,80A,80A
USC00341750,80A,80A
USC00340830,80A,80A
USC00340200,80A,80A
USC00341504,80A,80A
USC00346386,80A,80A
USC00349086,80A,80A
USW00013967,80A,80A
USC00346659,80A,80A
USC00347264,80A,80A
USC00345779,80A,80A
USC00349422,80A,80A
USW00003954,80A,80A
USC00342818,80A,80A
USC00343497,80A,80A
USC00347068,80A,80A
USC00348815,80A,80A
USC00348563,80A,80A
USW00053913,80A,80A
USC00349364,80A,80A
USC00344861,80A,80A
USC00342242,80A,80A
USC00347003,80A,80A
USC00342318,80A,80A
USC00346110,80A,80A
USC00341445,80A,80A
USC00344055,80A,80A
USC00344489,80A,80A
USC00348501,80A,80A
USW00053926,80A,80A
USC00346629,80A,80A
USW00053927,80A,80A
USW00003965,80A,80A
USC00345540,80A,80A
USC00340215,80A,80A
USC00347012,80A,80A
USC00346751,80A,80A
USC00346940,80A,80A
USC00344950,80A,80A
USC00342912,80A,80A
USC00347505,80A,80A
USC00347390,80A,80A
USC00340755,80A,80A
USC00344019,80A,80A
USC00345013,80A,80A
USC00344573,80A,80A
USW00013969,80A,80A
USC00343740,80A,80A
USC00341724,80A,80A
USC00345768,80A,80A
USC00340818,80A,80A
USC00346278,80A,80A
USC00341075,80A,80A
USC00410313,80A,80A
USC00418139,80A,80A
USC00414093,80A,80A
USC00417614,80A,80A
USW00013966,80A,80A
USC00411230,80A,80A
USC00411659,80A,80A
USC00411236,80A,80A
USC00148914,78C,78C
USC00140365,78C,78C
USC00141704,78C,78C
USC00145173,78C,78C
USC00147968,78C,78C
USC00147965,78C,78C
USW00003981,78C,78C
USC00343353,78C,78C
USC00341706,78C,78C
USC00340179,78C,78C
USC00343998,78C,78C
USC00347727,78C,78C
USC00340184,78C,78C
USC00340260,78C,78C
USC00345509,78C,78C
USC00348016,78C,78C
USW00093986,78C,78C
USC00349668,78C,78C
USC00346035,78C,78C
USC00347565,78C,78C
USW00003932,78C,78C
USC00342944,78C,78C
USC00342125,78C,78C
USC00347952,78C,78C
USC00342039,78C,78C
USC00342849,78C,78C
USC00348652,78C,78C
USC00341909,78C,78C
USC00343871,78C,78C
USC00347579,78C,78C
USC00345090,78C,78C
USC00348708,78C,78C
USC00349172,78C,78C
USC00340332,78C,78C
USC00346139,78C,78C
USC00341620,78C,78C
USC00349760,78C,78C
USC00343304,78C,78C
USC00349404,78C,78C
USC00343358,78C,78C
USC00341243,78C,78C
USC00340193,78C,78C
USC00410493,78C,78C
USC00419847,78C,78C
